name_broker,zipcode_broker,description_broker,score_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Dwars Makelaars | Qualis,6001 BA,"      Als je íets niet aan het toeval overlaat, dan is het wel de aan- of verkoop van je woning. Alles moet kloppen, dus ook de keuze voor de makelaar. Niet alleen je verstand, maar ook je gevoel moet zeggen dat je bij het juiste kantoor hebt aangeklopt.Die klik begint bij Dwars Makelaars in Weert. Een hecht team van makelaars en ondersteunende medewerkers voor wie persoonlijke aandacht geen aangeleerd kunstje maar een vanzelfsprekendheid is. Professionals die jouw droom begrijpen en weten wat er moet gebeuren op zo’n belangrijk moment in je leven.Vijf beëdigde makelaars vormen de kracht van Dwars Makelaars. Of je nou een expert nodig hebt voor de aan- of verkoop van je woning, een taxatie of een vastgoedadvies in de breedste zin van het woord: er staat er altijd een professional klaar die bij jouw situatie past. En nog belangrijker: met vijf makelaars die hun netwerk binnen een kantoor bundelen, wordt de kans op de juiste match voor jou aanzienlijk groter.Dwars Makelaars weet hoe de hazen lopen in de vastgoedmarkt. Onze makelaars zijn thuis in de regio, kennen de spelregels en de valkuilen. Daarbij blijven we onszelf ontwikkelen. Omdat we steeds beter willen worden, houden we elkaar scherp, delen en vergroten we onze vakkennis en vragen we ons elke dag opnieuw af of we voor onze klanten op de goede weg zijn. Samen maken we het verschil. Oftewel: ""volg jij je hart, doen wij de rest"".  Heeft u verhuisplannen? Wij komen geheel vrijblijvend bij u langs om u hierover te adviseren. Zowel bij de verkoop van uw woning als de aankoop van een nieuwe woning zijn wij u graag van dienst! ",9.0,181,62,187,https://www.funda.nl/en/makelaars/kantoor/weert/21110-dwars-makelaars-qualis/
Deerenberg & Van Leeuwen,2404 ND,"Als woningverkoper of woningkoper wilt u alleen het allerbeste. Dat betekent een makelaarskantoor dat beschikt over vakkennis, voldoende marketingmiddelen, een uitgebreid netwerk, integriteit, ruime ervaring en gedreven en professionele medewerkers. U bent op zoek naar een makelaar van Deerenberg & Van Leeuwen.",9.2,243,29,196,https://www.funda.nl/en/makelaars/kantoor/alphen-aan-den-rijn/25045-deerenberg-en-van-leeuwen/
Lokkerbol NVM Makelaardij Rotterdam,3071 AB,"Lokkerbol Makelaardij, de écht Rotterdamse makelaar. Al ruim twintig jaar verkopen wij de meest gerse en jonge woningen in Rotterdam. Hoe dat komt? Wij hebben ons gespecialiseerd in kenmerkende wijken van deze geweldige wereldstad. Want zeg nu zelf, Rotterdam is de mooiste stad die er is. Ja, toch? En laten wij precies dé makelaar zijn die zich thuis voelt in de populaire wijken van Rotterdam; de wijken waarvan je niet kan twisten dat je in Rotterdam bent. De Kop van Zuid, de Stadsdriehoek, de Veranda, Katendrecht, het Noordereiland en het Lloydkwartier kennen geen geheimen voor ons. Wij weten als geen ander wat er in deze wijken en bij de bewoners speelt. Dat komt door onze brede kennis en ruime ervaring. Ook hebben wij een écht Rotterdamse hands-on mentaliteit. Buiten dat zijn we buitengewoon servicegericht om jou zo goed mogelijk te helpen bij een belangrijke beslissing in je leven. Want dat is iets waar wij écht in geloven: ontzorgen. Daarom werken wij met een persoonlijke aanpak, zodat jij in alle vertrouwen voor ons durft te kiezen.",9.3,402,52,159,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15322-lokkerbol-nvm-makelaardij-rotterdam/
"Schonck, Schul & Compagnie",4834 XT," is een brede, dynamische en servicegerichte organisatie op het gebied van makelaardij en vastgoedontwikkeling, welke zich onderscheidt door een originele en proactieve aanpak met een topsportmentaliteit. is al meer dan 85 jaar actief in de Bredase vastgoedmarkt en heeft zich met een team van ca. 25 medewerkers gespecialiseerd in het product Wonen, Vastgoedontwikkeling en bijzonder bedrijfsmatig onroerend goed. Kenmerkend voor onze proactieve opstelling naar de markt zijn; creativiteit, innovatie, deskundigheid en vastberadenheid.",9.1,65,100,113,https://www.funda.nl/en/makelaars/kantoor/breda/19065-schonck-schul-en-compagnie/
Wijk-Regio Makelaardij B.V.,4751 AL,"In juli 2009 opende Wijk-Regio Makelaardij haar deuren. Ons makelaarskantoor is inmiddels uitgegroeid tot één van de grotere kantoren in uw wijk en regio.Als Wijk-Regio Makelaardij streven we kwaliteit na in combinatie met het persoonlijke contact. Een woning verkopen of aankopen is immers een hele stap in een mensenleven. Het is aan ons om onze opdrachtgever hierin optimaal te begeleiden en zaken uit handen te nemen met als doel het maximale resultaat te boeken.Zowel voor de verkoop, de aankoop of taxatie van uw (toekomstige) woning bent u bij ons aan het juiste adres. Wij zijn aangesloten bij de NVM (Nederland Vereniging van Makelaars), het NRVT (Nederlandse Register Vastgoed Taxateurs), Vastgoed Cert (het Kwaliteitsregister voor Makelaars) en het SCVM (Stichting Certificering Voor Makelaars) register.Het jonge team bestaat uit goed opgeleide personen die met veel passie in de makelaardij werkzaam zijn. We hebben geen negen tot vijf mentaliteit en staan klaar voor u wanneer het nodig is.Bent u nieuwsgierig geworden naar onze werkwijze? Neem dan geheel vrijblijvend contact met ons op.Veel tevreden opdrachtgevers zijn u voorgegaan en we zijn trots te mogen melden dat we in 2017 (bron: Vastgoedactueel) in de top 10 best presenterende makelaarskantoren van Noord-Brabant zijn opgenomen. We blijven streven naar verder succes waar ook u van mee kunt profiteren!",9.3,21,70,135,https://www.funda.nl/en/makelaars/kantoor/oud-gastel/19356-wijk-regio-makelaardij-bv/
Roelof Berg Makelaardij NVM-Buitenstate (Diever),7981 AR,"Roelof Berg Makelaardij is een full service NVM-makelaarskantoor in de prachtige regio Zuidwest Drenthe.   Bij ons op kantoor in Diever vind je maar liefst 2 NVM-makelaars, 1 assistent-makelaar, 3 binnendienstmedewerkers en ... lekkere koffie. Met al onze opdrachtgevers communiceren we op vriendelijke, open en eerlijke wijze. Ook geloven we in de kracht en inzet van sociale media en van visuele middelen ter promotie van ons aanbod. We zijn flexibel, ondernemend en werken met veel enthousiasme. Daarnaast houden we van aanpakken! We zijn alleen tevreden met het maximale resultaat.Wij zijn gespecialiseerd in alle facetten van de woningmakelaardij. Met een gedreven team van professionals assisteren we onze particuliere klanten vol overgave. Ook voor jouw “tweede huis” kan Roelof Berg Makelaardij veel voor je betekenen! Onze makelaars hebben ruime ervaring in de markt van vakantiewoningen. Wij adviseren jou dan ook graag bij de aan- of verkoop van een vakantiewoning of recreatievilla.Sinds enkele jaren zijn wij aangehaakt bij Buitenstate, het samenwerkingsverband tussen makelaars die zijn gespecialiseerd in de aankoop en verkoop van vrijstaande woningen in het buitengebied. Door deze specialisatie in landelijk wonen heeft Buitenstate het grootste aanbod vrijstaande woningen in het buitengebied te koop staan!Ons kantoor is sinds 2004 gevestigd in het historische centrum van Diever. Als NVM-makelaarskantoor investeren we continue in de ontwikkeling en bijscholing van onze medewerkers. Zo zijn en blijven we altijd op de hoogte van actuele ontwikkelingen in het vak. Uiteraard wonen onze medewerkers zelf ook heel graag in de regio, zodat we zelf weten waar wat te beleven is en bovenop de markt zitten.Wij kijken uit naar een nadere kennismaking met jou! Je kan ons bereiken via 0521-571126 en info@roelofberg.nl. Of loop gerust van maandag tot en met vrijdag tussen 8.30 uur en 17.00 uur binnen bij ons moderne kantoor aan de Kruisstraat 10a in Diever. Wij komen ook graag bij je thuis voor een kennismaking.Wij hopen je voor een nadere kennismaking te mogen gegroeten!",8.8,154,32,187,https://www.funda.nl/en/makelaars/kantoor/diever/4214-roelof-berg-makelaardij-nvm-buitenstate-diever/
Woongoed Makelaars,2901 LB,No entry,9.1,218,38,169,https://www.funda.nl/en/makelaars/kantoor/capelle-aan-den-ijssel/15480-woongoed-makelaars/
Van Kleef NVM Makelaars,3024 EJ,"Het makelaarskantoor dat de oplossingen in huis heeft om uw woonwensen te vervullen!Vanuit onze vestiging in Delfshaven bestrijken wij de gehele Rotterdamse woningmarkt., een  en een  vormen het fundament van ons kantoor.Dit heeft geresulteerd in een top tien notering van best verkopende makelaars in Rotterdam!Met 20 jaar ervaring en het NVM kwaliteitslabel is de ,  of  van uw woning bij ons in vertrouwde handen!Nieuwsgierig geworden wat wij voor u kunnen betekenen? Laat uw gegevens achter via het contactformulier!",9.5,185,48,153,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15446-van-kleef-nvm-makelaars/
Missing value,Missing value,No entry,Missing,Missing,Missing,Missing,https://www.funda.nl/en/makelaars/doetinchem/2249-heilbron-mulders-quint-makelaardij/
Missing value,Missing value,No entry,Missing,Missing,Missing,Missing,https://www.funda.nl/en/makelaars/hilversum/6303-van-vulpen-roozenburg-makelaars/
LIV Wooncoach B.V.,6541 XX," Loop door de vier modelwoningen en laat je inspireren op meer dan 3000m2 wooninspiratie. Kom langs bij LIV en beleef jouw nieuwe thuis op ware grootte. In LIV doorloop je het hele aankoopproces van je nieuwbouwwoning met ondersteuning van een wooncoach. Van koken en baden tot aan advies over het interieur van je woning en het uiteindelijk woon- en tuinklaar maken, snel na oplevering. En dat allemaal onder één dak. Dat scheelt je een heleboel waardevolle tijd!Loop zelf door de vier modelwoningen, gebouwd op ware grootte, en ervaar hoe je toekomstige woning er in grote lijnen uit komt te zien. Zie hoeveel extra ruimte je creëert met een uitbouw of wat deuren ensuite doen met de woonkamer. Beleef wat je krijgt, en maak betere woonkeuzes. LIV staat niet voor niets voor Leven, Inspireren en Verleiden. Neem met een gerust hart beslissingen en creëer een thuis waar je nog jarenlang met veel plezier woont!",Missing,Missing,107,Missing,https://www.funda.nl/en/makelaars/kantoor/nijmegen/13188-liv-wooncoach-bv/
Jeroen van den Boogaard Makelaars,2153 LT,"     Wij zijn de  voor particuliere  en  in de gemeente Haarlemmermeer. Kortom: wij zijn uw makelaar voor ,  en . Met  en goede bekendheid met het aanbod in de regio, kunt u in alle gevallen bij ons terecht. Of het nu gaat om  van een , wij begeleiden u uiterst deskundig. Jeroen van den Boogaard Makelaars is register makelaar-taxateur, zowel op het gebied van wonen als bedrijfsmatig vastgoed. Van de Nieuw Vennepse makelaars zijn wij marktleider in verkopen volgens onafhankelijke NVM cijfers. Daarnaast zijn wij  in de gehele Haarlemmermeer, volgens . Wij trachten onze klanten zoveel mogelijk te ontzorgen en bieden een moderne full service dienstverlening. Wij laten u graag zien hoe wij dit doen. Kijk vooral ook eens naar onze moderne verkoop presentaties op Funda en onze woning websites, en laat u overtuigen! Kortom: een vertrouwd kantoor waar u en uw woning centraal staan!We lichten onze werkwijze graag verder toe. Wij laten ons graag uitnodigen voor een gratis vrijblijvende waardebepaling of een gratis vrijblijvend aankoopgesprek. In dit persoonlijke gesprek kunnen we dan samen kijken wat we voor u kunnen betekenen. U kunt ons altijd per e-mail bereiken op info@jeroenvandenboogaard.nl en telefonisch onder werktijden op 0252-687397.   Als u een hypotheek afsluit wilt u er natuurlijk wel zeker van zijn dat u wordt geadviseerd door mensen die er écht verstand van hebben. Bij De Hypotheekshop Nieuw Vennep heeft u die . Bovendien bemiddelen onze medewerkers voor u altijd een  en  . De Hypotheekshop is de . De Hypotheekshop Nieuw Vennep is werkzaam in Nieuw Vennep, Hoofddorp en de gehele Haarlemmermeer en omstreken. Meer informatie of zelf alvast rekenen? Kijk dan op onze eigen website.Onze Hypotheekshop adviseur is . De Hypotheekshop: Duidelijk verhaal!Wij laten ons graag uitnodigen voor een gratis vrijblijvend kennismakingsgesprek. In dit persoonlijke gesprek kunnen we dan samen kijken wat we voor u kunnen betekenen. U kunt ons altijd per e-mail bereiken op nieuwvennep475@hypotheekshop.nl en telefonisch onder werktijden op 0252-515240.",9.3,224,29,194,https://www.funda.nl/en/makelaars/kantoor/nieuw-vennep/10164-jeroen-van-den-boogaard-makelaars/
Makelaar Van Uffelen,5628 TA,"U heeft verkoopplannen? Of wilt u gewoon eens weten wat uw huis op dit moment 'doet'. Als makelaar in Eindhoven kennen wij uw buurt als geen ander en kunnen u daarom een goed onderbouwd advies geven over de huidige martkwaarde van uw woning en de verkoopkansen. Tijdens een  vertellen we u daar graag meer over! Persoonlijk, creatief en realistisch zijn onze steekwoorden. Binnen ons kantoor zijn de lijnen kort, zowel intern, als naar onze klanten.Resultaat telt! We hebben afgelopen periode veel mensen geholpen met de stap naar hun nieuwe woning! Onder het kopje 'beoordelingen' kun je lezen hoe onze klanten over ons denken en onder het kopje 'woningaanbod' krijg je een overzicht van hoeveel woningen wij hebben verkocht in de laatste 12 maanden. Gemiddeld beoordelen onze klanten ons met een 8.8!Wij nodigen u graag uit voor een verhelderend gesprek met één van onze makelaars. Bij u thuis of op ons kantoor aan de Brussellaan 7B. De koffie staat voor u klaar.Wij zijn een persoonlijke makelaar in Eindhoven en Helmond en daarnaast ook actief in de omliggende dorpen, waaronder Nuenen, Gerwen en Nederwetten, Son en Breugel, Best, Geldrop, Veldhoven, Waalre en Valkenswaard.",8.9,505,36,174,https://www.funda.nl/en/makelaars/kantoor/eindhoven/14111-makelaar-van-uffelen/
PUUR* Makelaars Haarlem,2013 DJ,"Haarlem is een van de populairste steden om in te wonen. Er zijn veel verschillende buurten die allemaal hun eigen specifieke kenmerken hebben. Onze makelaars kennen deze buurten als geen ander en zijn daardoor in staat om jou het beste advies te geven: zowel bij de aankoop, als bij de verkoop van je huis. Hierdoor weet je zeker dat we altijd het beste resultaat voor je realiseren.PUUR* Makelaars heeft een team van zeer ervaren gecertificeerde makelaar-taxateurs en professionele binnendienstmedewerkers. Zij zorgen er altijd voor dat onze klanten op de hoogte zijn van hetgeen wij doen en vooral waarom. Ons team zorgt voor een zorgeloze aankoop, of verkoop van een huis. En natuurlijk altijd tegen de beste voorwaarden!Vanaf het eerste gesprek tot het champagnemoment zijn wij een partner voor je. We luisteren naar jouw wensen en stellen vragen. Soms zijn dat lastige of kritische vragen, maar zo komen we erachter wat voor jou de meest ideale oplossing is. Soms is dat niet de oplossing die op het eerste gezicht het meest voor de hand ligt. Soms is het zelfs een oplossing die niet meteen leuk is, maar die uiteindelijk voor jou beter uitpakt.Gedurende het hele aan- of verkooptraject adviseren wij je en houden wij alle financiële, juridische en bouwkundige aspecten in de gaten. We regelen, in nauwe samenwerking met jou, wat er geregeld moet worden. We nemen waar nodig zelf het initiatief, maar we houden je volledig op de hoogte. Wij zorgen dat je tijdens het hele aan- of verkooptraject precies weet waar je aan toe bent. PUUR* Makelaars heeft een zeer groot klantenbestand, waardoor we heel snel een match kunnen maken tussen koper en verkoper. Soms nog voordat een huis officieel op de markt komt.Omdat we meerdere vestigingen hebben, is onze slagkracht groot. Onze makelaars wisselen onderling veel informatie uit, waardoor zij allemaal zeer goed op de hoogte zijn van de snel veranderende woningmarkt. Hierdoor ontdekken we vaak als eerste trends waar we direct op inspelen en waar onze klanten ook direct van profiteren.PUUR* Makelaars zet naast de traditionele kanalen ook online zwaar in, bijvoorbeeld via de website www.puurmakelaars.nl, sociale media, e-mailmarketing en online advertising. Hierdoor krijgt ons aanbod een zeer groot bereik via internet. Dat is aantrekkelijk voor verkopers, want hoe meer mensen zien dat een huis te koop is, hoe groter de kans op een snelle verkoop is. Je vindt onze vestigingen aan:Onze vestigingen zijn op werkdagen geopend van 08.30 tot 17.30 uur. Buiten kantooruren werken wij graag op afspraak.",9.1,271,38,172,https://www.funda.nl/en/makelaars/kantoor/haarlem/10282-puur-makelaars-haarlem/
Verdoold Makelaars,2923 AT,"Je huis verkopen is een grote stap. Bijna altijd valt het samen met een nieuwe fase in je leven. Je zoekt iets groters, omdat je over negen maanden met drie in plaats van twee bent. Of iets kleiners, omdat je jongste, ‘gisteren’ nog een blozende dreumes, alweer uitvliegt.Voor veel mensen is het een afscheid van een dierbare plek waar veel herinneringen liggen. Dat alleen al is een reden waarom het zorgvuldig moet gebeuren.Ondanks alle emoties is de verkoop van je huis ook een zakelijke transactie waarbij je je hoofd koel moet houden. Hoe je je huis verkoopt heeft grote gevolgen voor je financiële toekomst. De verkoopprijs is namelijk bepalend voor de volgende woonstap; iets groter of misschien wel een stuk groter. Maar het kan ook je pensioen zijn of een erfenis.Verdoold Makelaars staat je graag bij in dit proces. Wij houden ons hoofd al sinds 1980 koel en hebben dus in goede en in slechte tijden huizen verkocht. We zijn aangesloten bij de  en het . Behalve particulieren horen ook gemeentes, beleggers en woningcorporaties bij ons klantenbestand. Capelle aan den IJssel en de hele Krimpenerwaard zijn ons werkgebied.Als je interesse hebt in onze dienstverlening komen we eerst kennismaken. Samen bekijken we de woning. Hoe groot is het? Hoe is de ligging? We letten op alle plus -en minpunten die belangrijk zijn voor de waarde van je huis. De makelaar zal na deze kennismaking de waarde van het huis en de bijbehorende vraagprijs vaststellen. We zullen je iets vertellen over de kosten en hoe het verder gaat. Daarna beslis jij of wij jouw huis mogen verkopen. Wil je meer weten over een huis aankopen of verkopen kom dan eerst eens een vrijblijvend met ons praten. Je bent van harte welkom op de Cascade 75 in Krimpen aan den IJssel.",9.3,194,59,152,https://www.funda.nl/en/makelaars/kantoor/krimpen-aan-den-ijssel/15353-verdoold-makelaars/
Gaba Makelaardij Zevenaar,6901 DS,"Bijna iedereen krijgt vroeg of laat te maken met de koop of verkoop van een woning. Toch gaan we er vanuit dat dit nooit ‘alledaagse kost’ voor u zal worden. Reden te meer om u goed te laten begeleiden.GABA Makelaardij is in de afgelopen jaren gegroeid tot één van de grootste kantoren in de regio Arnhem, de Liemers en omgeving. 'Het geheim' hierachter is een reële kijk op de woningmarkt en een actieve instelling. Niet afwachten, maar mogelijkheden zoeken en doorpakken!Naast de duidelijke en persoonlijke werkwijze die onze gehele organisatie kenmerkt, proberen we onze werkwijze blijvend te vernieuwen. De omstandigheden op de woningmarkt en daarmee de vragen van consumenten veranderen immers ook constant!Bent u van plan bent om uw woning te verkopen? Dan wisselen we graag eens met u van gedachten. Natuurlijk draait de woningmarkt in de meeste segmenten weer goed en zijn woningen weer 'gemakkelijk' te verkopen, maar haalt u er ook het optimale uit?! Wij gaan niet voor een snel of gemakkelijk succes, maar willen er het maximale voor u uithalen. Uw woning is waarschijnlijk uw meest kostbare bezit en dat verkoop u niet vaak. Zoals gezegd willen wij er het maximale voor u uithalen, daarin zijn wij in 2018 meer dan 450 keer succesvol geweest!Wilt u een woning kopen? Ook dan wisselen we graag eens met u van gedachten over wat wij voor u kunnen betekenen. De vragen van klanten verschillen enorm. Misschien bent u wel bouwkundig onderlegd. Wellicht bent u bekend met koopaktes en andere juridische zaken of bent u prima in staat om zelf een onderhandeling te voeren. Het kan echter erg prettig zijn om op enkele (of alle) punten toch begeleid te worden en dat kan u vanzelfsprekend veel voordeel opleveren. In 2018 hebben wij meer dan 50 woningen succesvol aangekocht.Naast onze dienstverlening op het gebied van de makelaardij kunnen wij u ook van dienst zijn op het gebied van hypotheken, verzekeringen en bancaire zaken.We horen graag wat wij voor u kunnen betekenen. GABA, Goed Geregeld",9.1,199,48,190,https://www.funda.nl/en/makelaars/kantoor/zevenaar/2034-gaba-makelaardij-zevenaar/
Den Rooijen & Van Herk Makelaardij,3201 AL,"Wilt u een actieve makelaar die met succes voor u aan de slag gaat? Ontdek dan wat Den Rooijen & Van Herk Makelaardij voor u kan betekenen; voor huizenbezitters die vakkundig en voor de juiste prijs hun woning willen verkopen. Voor klanten die een gecertificeerde NWWI taxatie willen laten uitvoeren. Voor woningzoekers die hun droom willen verwezenlijken... Wat uw wens ook is: wij hebben een op maat gesneden oplossing.  Persoonlijk en proactief. Op weg naar een goed resultaat.Waarin wij ons onderscheiden? Wij hebben onze succesfactoren voor u op een rijtje gezet:1.       Topranking op Funda:  Door de nieuwste presentatietechnieken, zoals heldere (360◦) beelden, 3d plattegronden, video animatie en een brochure garanderen wij dat uw woning een toppositie krijgt op Funda.2.       Verkoopplan op maat:  Met meer dan 40 marketingactiviteiten heeft u voldoende munitie om uw woning onderscheidend te promoten.3.       Potentiële kopers:   Wij hebben een groot, actueel zoekersbestand met veel kandidaat-kopers.4.       Bent u van plan te kopen? Dan zorgen we dat alle informatie over de woning en woonomgeving inzichtelijk is. Zo weet u exact wat u koopt. En natuurlijk bedingen we voor u een marktconforme prijs. Ook dit is gegarandeerd: onze verdienste is gekoppeld aan het behaalde voordeel op de aankoopsom;5.       Bereikbaar  Wij zijn dagelijks persoonlijk bereikbaar van 9.00 tot 23.00 uur via mail, telefoon of chat!6.       Top 10 van grootste makelaarskantoren.  Wij behoren tot de top 10 van grootste makelaarskantoren. Veel klanten stelden al vertrouwen in onze dienstverlening en daar zijn we trots op (bron: onderzoek Bangma & Bosma Bedrijfsadvies).7.       Een brede, professionele organisatie met een eigen juridische afdeling en tevens lid van de makelaarsorganisatie NVM;8.       Een full-service organisatie; Van Herk Makelaardij ontzorgt u van begin tot eind. Wij geloven dat een persoonlijke benadering en hoge betrokkenheid van onze medewerkers toegevoegde waarde voor u levert. Op elk moment van de dienstverlening en op elk onderdeel;9.       Van alle markten thuis: voor bedrijfsonroerend goed, een woning of een agrarisch object. Makelen is onze passie of dat nu voor particulieren of bedrijven of andere organisatie is. We doen het met veel enthousiasme en vakkennis.",9.3,35,37,167,https://www.funda.nl/en/makelaars/kantoor/spijkenisse/15508-den-rooijen-en-van-herk-makelaardij/
Kettner Makelaardij NVM,3062 DA,"Zoek je een makelaarskantoor waarover je dik tevreden kan zijn.Dan bent je bij ons aan het juiste adres !Op de vraag: Zou u dit makelaarskantoor aanbevelen bij vrienden en bekenden,antwoordt  bij verkoop- en zelfs  bij aankoopbegeleiding   'Kettner Makelaardij is een platte organisatie, wars van massawerk. We zien ons werk als ambacht en geven onze klanten de aandacht die ze verdienen.Geen gehaaste trajecten en snelle jongens. We nemen de tijd voor je. Dankzij onze complete en vakkundige benadering verkopen we veelal sneller dan andere makelaars.Al 40 jaar werken wij uitsluitend met gediplomeerde mensen. Als een van de weinige kantoren zijn al onze buitendienst medewerkers beëdigd makelaar/ taxateur. Uiteraard zijn wij lid van de NVM (Nederlandse Vereniging van Makelaars) en ook van de RVM (Rotterdamse Vereniging van Makelaars).Kijk op  voor de resultaten van klantenreacties en constateer daar dat je door ons in te schakelen, de juiste keuze maakt.",9.3,200,61,139,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15186-kettner-makelaardij-nvm/
ten Hag makelaarsgroep,7201 EC,"TOONAANGEVEND EN ALLES ONDER 1 DAKDe ten Hag groep is een toonaangevende organisatie op het gebied van onroerend goed en financiele dienstverlening in Oost-Nederland. De ten Hag groep heeft vestigingen in Zutphen, Almelo, Enschede, Deventer, Doetinchem, Hengelo (Ov.) Apeldoorn en Zwolle.WIJ HEBBEN HEEL WAT IN HUIS  De 6 disciplines van de ten Hag groep zijn:  * Woningmakelaars  * Bedrijfsmakelaars  * Vastgoedmanagement  * Verzekeringsadviseurs  * Pensioenadviseurs  * HypotheekNetWAARMEE KUNNEN WIJ U VAN DIENST ZIJN?  De ten Hag groep kan u op de volgende gebieden van dienst zijn:* Verkoop, aankoop, huur en verhuur van(bestaande en nieuwbouw) woningen en appartementen.  * Taxeren van woningen en appartementen  * Het adviseren bij de planontwikkeling van nieuwbouwprojecten  * Onteigening  * Beleggingen in woningen  * Marktonderzoeken  * Het uitbrengen van algemene en juridische adviezen omtrent woningenMAAR UITERAARD OOK OP HET GEBIED VAN:  * Verzekeringen (particulier en bedrijven)  * Pensioenen (particulier en bedrijven)  * Vastgoedmanagement (VvE's)  * Hypotheken  * BedrijfsmakelaardijHYPOTHEEKNET  Voor actuele rentes of nieuwe ontwikkelen kijk op www.hypnet.nlWE ZIEN U GRAAG BIJ ONS AAN DE SPITTAALSTRAAT 93 IN ZUTPHEN",9.4,174,43,166,https://www.funda.nl/en/makelaars/kantoor/zutphen/3074-ten-hag-makelaarsgroep/
Hannink Makelaars,8102 CN,"We zetten ons elke dag vol passie en enthousiasme in voor al jouw woonwensen. We helpen je zodat jij jouw gewenste stap op de woningmarkt kan zetten. We lopen graag net wat harder dan de rest en geven onze klanten de aandacht die ze verdienen. Dat doen we sinds 1932 en dat geeft ons elke dag nieuwe energie!We begrijpen dat mensen het verschil maken en dat we geen huis, maar een “thuis” verkopen.Je kunt bij ons terecht voor verkoop, aankoop, verhuur en taxatie.Je bent van harte welkom en wij maken graag kennis!",8.9,243,62,137,https://www.funda.nl/en/makelaars/kantoor/raalte/3066-hannink-makelaars/
Hermans Makelaardij,6093 BJ,"Wilt u een huis kopen of verkopen? Hermans Makelaardij staat voor u klaar. We zijn een echte regiomakelaar die al 40 jaar actief is in Midden-Limburg en daar werkelijk de weg weet. U zult zich vertrouwd voelen bij ons door de persoonlijke aandacht en de ruime ervaring van onze gecertificeerde NVM makelaars.     Naast de makelaardij, het aan- en verkopen van huizen, kunnen wij ook overige diensten voor u verzorgen. We beschikken over zeer ervaren taxateurs ten behoeve van taxaties en waardebepalingen. Ook voor ondernemers en een geschikte bedrijfshuisvesting bent u bij Hermans Makelaardij aan het juiste adres. Heeft u een woning gevonden maar wilt u meer weten over de financieringsmogelijkheden? We bieden u hypotheekadvies om antwoord te geven op al uw vragen.U kunt ons vinden op:Stationsstraat 21  6093 BJ Heythuysen  T. 0475-493636  F. 0475-494652  Email: info@hermans-makelaardij.nl  www.hermans-makelaardij.nl",9.1,184,56,170,https://www.funda.nl/en/makelaars/kantoor/heythuysen/21044-hermans-makelaardij/
Broekman Makelaars,1825 RN,"Deskundigheid en vakbekwaamheid!Met 3 kantoren in de regio is Broekman Makelaars sterk vertegenwoordigd in een gebied met een straal van zo'n 20 kilometer rond Alkmaar.  Broekman Makelaars Alkmaar ""de Mare"" is gevestigd op een strategisch locatie in winkelcentrum "" De Mare"". Dagelijks passeren vele mensen ons kantoor. Onze digitale etalage wordt daardoor zeer goed bekeken.Deze informatie geeft u een indruk van de aanpak en mogelijkheden van ons makelaarskantoor.  We beseffen dat we daarin nooit compleet kunnen zijn. Tenslotte is alles aan verandering onderhevig. Mensen en omstandigheden zijn geen statische gegevens.Ook wij stemmen onze organisatie, aanpak en diensten voortdurend af op nieuwe ontwikkelingen. Een deskundige, cliëntgerichte en professionele instelling met daadkracht is wellicht het belangrijkste kenmerk van ons makelaarskantoor. Daarmee zijn we in staat continue voorop te blijven lopen, wanneer het gaat om de juiste begeleiding die exact inspelen op de wensen en mogelijkheden van onze cliënten.De makelaardij is een boeiend vak. Maar ook een verantwoordelijk vak. U als cliënt, heeft recht op een eerlijke, deskundige voorlichting. Ook over uw slagingskansen. Wie professioneel te werk gaat, weet hoe u als mogelijke opdachtgever op een prettige manier begeleidt moet worden in het proces.Wij maken ons als NVM makelaar sterk voor oplossingen die gericht zijn op effect. Een helder beeld van de functie van ons als vastgoeddeskundige en makelaar/taxateur binnen de vastgoedmarkt, daar gaat het om. Passend bij uw wensen en omstandigheden.Wij nodigen u graag uit om zelf te ervaren hoe Broekman Makelaars bij kan dragen tot uw persoonlijk geluk en begeleiding.U praat en werkt met vakbekwame mensen die beseffen dat het “persoonlijke gevoel” net dat stukje extra biedt dat nodig is om voor u werkelijk een nieuwe weg in te slaan!",9.1,267,27,190,https://www.funda.nl/en/makelaars/kantoor/alkmaar/12140-broekman-makelaars/
