SalesAgent,Reviews
10+ Makelaars,"Ze zijn nogal gericht op het zaken doen met een man. Terwijl ik meerdere keren heb aangegeven zaken te doen met mij (vrouw)Wat jammer om te horen. Door de onderhandelingen op jullie verzoek met mevrouw te doen, dachten we aan uw wensen te hebben voldaan. Excuses voor de verwarring.Fijn contact gehad met Marck. Eerlijke makelaar met een gedegen advies. Doet uitstekend zijn best om voor jou de beste deal te realiseren. Komt ook keurig zijn afspraken na en is altijd op tijd. Kortom zoek je een betrouwbare makelaar met goede adviezen, dan moet je zeker bij 10+ zijn..!Geachte heer Spierings,Fijn om te horen dat u zo tevreden bent over onze diensten.Bedankt voor de fijne samenwerking.M.v.g.10+MakelaarsContact verliep uitstekend. Zeer prettig en persoonlijk contact.Verwachtingen zijn helemaal waar gemaakt.Bedankt voor de fijne samenwerking en de goede beoordeling.Met vriendelijke groet,10+MakelaarsTop makelaar, Marck had zich goed verdiept in ons huis en vergelijkbare huizen. Had daardoor een goede prijsbepaling. Verzet zeer correct en attent! Kwam al zijn afspraken keurig na. Hij hield alles scherp in de gaten, we zijn zeer tevreden Bedankt voor de fijne samenwerking en de goede beoordeling.Met vriendelijke groet,10+MakelaarsHet contact met Marc van Litsenburgh is heel plezierig verlopen. Hij heeft ons zeer goed geïnformeerd. Ook de dames van kantoor hebben ons, bij vragen, altijd goed geholpen. De bezichtigingen verliepen in goede harmonie. Na afloop kregen wij direct de nodige informatie.Ondanks deze moeilijke periode ivm ""de corona"" is alles naar wens verlopen.Wij kunnen 10+ Makelaars aanbevelen.Goedemiddag Dhr schuitemaker.Bedankt voor uw reactie.Wat fijn om te horen dat u zo tevreden bent over de verkoop van uw woning! wij wensen u veel geluk in uw nieuwe woning.M.v.g.Marck, Jomieneke en Nadine."
11 Makelaars BV,"Prima, informatie over het proces ,Juiste advies op prijs stelling en vlotte afhandeling.Niels is een perfecte “ motor” in het Team, Zal wel met de sportieve instelling te maken hebben👍Voor zowel aankoop als verkoop is het buitengewoon goed gegaan. We werden goed op de hoogte gehouden. Zelfs bij het eind. Dank jullie wel. Onze makelaar Jeffrey kwam goed voorbereid naar ons huis. Was altijd bereikbaar voor vragen, zowel telefonisch, per mail of op de whatsapp. Zelfs in het weekend! We hebben een goed advies gehad over de biedingen die gedaan werden. Top!Wij zijn erg tevreden met 11 makelaars, ze hebben een proactieve houding en denken mee met verkoper, koper en huurder.Ze hebben ons geholpen bij zowel verkoop, aankoop als huur woning, alles drie naar tevredenheid.marktkennis meer dan aanwezig gezien de aantal woningen in de regio die ze verkopen. deskunigheid meer dan aanwezig. begeleiding alles per mail of telf gecommuniceerd naar tevredenheid. "
3D Makelaars B.V.,"De enthousiaste makelaar kwam met een goed plan waar wij ons ook in konden vinden wat naar een goed resultaat heeft geleid.De communicatie verliep erg goed, we zijn netjes op de hoogte gehouden van de ontwikkelingen. Hij denkt mee en begeleid de verkoop van begin tot eind.Wij zijn erg tevreden!Contact en opvolging verliep direct goed.Er is duidelijk kennis van de lokale markt.Afspraken zijn allemaal nagekomen.Het contact verliep met merkbaar enthousiasme en deskundigheid, met name waar het de adviezen betrof omtrent het presenteren van onze woning en het oplossen van vragen en de kleine problemen die nu eenmaal samenhangen met het verkopen van een huis. We zijn zeer tevreden. Daarbij was de taxatie juist en boven onze verwachting.Vanaf 1e gesprek tot nu alles als heel prettig ervaren. Zowel de makelaar als iedereen op kantoor super vriendelijk geen vraag is teveel. Ze weten waar ze over praten. snelle reactie. Kan niet anders zeggen dan een 10 voor deze makelaar. Zeer deskundig, en denken goed met je mee. Wat ik zelf als prettig heb ervaren is de laag drempeligheid met vragen. Je voelt je nooit bezwaart met vragen. "
123 makelaar o.z.,"Het contact met de makelaar verliep prima. Ik kon altijd bellen/ mailen en kreeg steeds snel een reactie. Zowel het plan van aanpak, de uitvoering en de nazorg is van een erg hoog nivo. Enerzijds meedenken en anderzijds cordaat handelen. Een brede kennis van de markt & locatie zowel specifiek en algemeen. Met focus op optimalisering korte termijn opbrengst, maar niet de lange termijn (mogelijkheden) uit het oog verliezend. Perfect geholpen door Kaylee en huybert zeer correct en vriendelijk geholpen door de makelaar en Kaylee van 123 makelaar sWij konden onze makelaar Huybert altijd bellen, was nooit een probleem. Als we iets niet begrepen nam hij de tijd te luisteren en advies te geven. Heel fijn! Ook zijn secretaresse, Kaylee heeft ons telkens bij gestaan. Als ik vragen had of in paniek was gaf zij steunende adviezen. Echt lief. Bedankt! Lieve groet, Ben en Thea SterkProfessioneel en deskundig advies, vriendelijk en betrokken. Geeft waardevolle ondersteuning tijdens hele verkoop traject en veel goede tips voor gerelateerde zaken"
& Bijleveld makelaardij b.v.,"Wat zijn wij ongelofelijk tevreden met wat Angelique en haar meiden voor ons heeft betekend. Ons huis met een zeer mooie prijs verkocht en tegelijk ons droomhuis aangekocht. Wij zouden & Bijleveld echt iedereen aanraden, zeker in deze gekke huizenmarkt in Amsterdam.Wat zijn we allemaal óntzettend blij met deze geweldige review! Voor ons was het vanaf het eerste moment ook een feest om met jullie samen te werken, soms begrijp je elkaar al direct en gaat het gewoon vanzelf. BIjna jammer dat het nu is afgelopen, maar ik weet waar jullie wonen.... :-)Dank lieve B&F, echt heel blij mee!Alles verliep op rolletjes. Angelique is een warme vrouw met humor en durf. Ze brengt heel veel ervaring mee. Ze voelde heel goed aan op wat voor manier we het traject prettig vonden, legde een eerlijk advies op tafel en gaf sturing waar nodig. Dat vonden wij heel erg fijn. Ze heeft in alle fases de juiste keuze gemaakt. Het contact met het kantoor verliep prima. Iedereen was van alles op de hoogte en we hoefden nooit iets uit te leggen. Binnenkort tekenen we de definitieve koopacte. Kortom; alle lof.Wat een geweldige review!! Hier ben ik echt zo trots op! Niet alleen omdat jullie me na zoveel jaar weer de kans gaven om jullie huis te verkopen, maar ook omdat het fijne contact en de goede samenwerking tot dit geweldige resultaat heeft geleid. Dat heb ik dus niet alleen gedaan, maar wij echt samen. Jammer dat jullie de stad uitgaan maar mochten jullie ooit weer terug willen komen, ben ik er uiteraard weer graag om jullie te helpen...! Lieve groeten, AngeliqueIk raadde &Bijleveld altijd al aan, aan iedereen die een integere, fijne en vooral ook productieve samenwerking zoekt met haar makelaar. Het is niet de eerste keer dat ik met Angelique en haar team werk, en het zal zeker ook niet de laatste keer zijn. Bij Angelique ben je ervan verzekerd dat je echt goed advies krijgt, advies wat je verder brengt en uiteindelijk ook wat je echt iets oplevert. Dank Angelique, Alice en Roba! Beste Els, we kunnen niet anders dan énorm glunderen van deze hartverwarmende woorden. Apetrots ben ik....dankjewel! Dit maakt dat je je werk zelfs na zo'n lange tijd nog altijd heel leuk vindt. Lieve groeten, AngeliquePrima verlopen, klein team, prettig persoonlijk contact en begeleiding. Door corona minder fysieke bezichtigingen, maar goed opgelost door online bezichtigingen.Angelique heeft ons op uitstekende wijze begeleid: Waardevolle tips, zeer deskundig, veel werk uit handen genomen en bovendien uiterst plezierig samenwerkend met ons. Ze was gedurende het hele proces steeds goed bereikbaar en - als het weer even spannend werd - ook in de avond en in de weekenden. Ook de ondersteuning vanuit de andere dames van het kantoor was professioneel en prettig. Een sterk team!"
A New Home Makelaardij,"Perfecte deskundigheid, komt alle gemaakte afspraken na, zeer korte lijnen, zeer goede prijs / kwaliteit verhouding. Heel fijne persoonlijkheid, met een professionele uitstraling. Heeft een perfect werkend team om haar heen gecreëerd dat werkt als een geoliede machine . We hebben op een zeer prettige manier zaken met haar kunnen doen, waarvoor onze dank 🙏 Dankjewel mijnheer Christiaans voor deze mooie beoordeling en de prettige samenwerking. Hopelijk weer tot ziens in de toekomst ! Groet, Nathaly van de Poel en gehele teamNathaly is een professionele makelaar met een gedegen kennis van de regio. We hebben hierdoor het gevoel dat we met haar ondersteuning het best bereikbare resultaat hebben gekregen bij de verkoop van ons pand.Bedankt voor de mooie beoordeling en het vertrouwen in ons kantoor.Het zijn toppers. Begeleiding was super heel vriendelijk en het gaf vertrouwen. Dus raad ik iedereen deze makelaar aan.Dank je wel voor deze mooie beoordeling, en het vertrouwen in ons kantoor.Zeer goede deskundige begeleiding.Medewerkers zijn allemaal even vriendelijk. Ons huis was binnen 4 dagen verkocht! Kortom een super makelaar.Dank je wel voor de mooie beoordeling en het vertrouwen in ons kantoor.Het contact was uitstekend! aardig en raadzaam!!Nathalie's advies was van meet af aan GOED. Wij hadden een hogere prijs voor ons huis! Wij volgden echter haar advies en dat was achteraf perfect!Geachte heer Debets,Dank u wel voor deze mooie beoordeling."
3B Makelaardij b.v.,"Ik heb de service als perfect ervaren van 3B Makelaardij, zowel afhandeling van zaken, contact en het regelen van diverse zaken, alles verliep vlekkeloos! Nogmaals dank Bas!3B makelaar richt zich vooral op Bleiswijk, Bergschenhoek en Berkel en Rodenrijs. Prima makelaar, was 9 jaar geleden ook de aankoopmakelaar voor dit huis. Gedegen kennis van de locale markt, ik heb Bas Panbakker alsbetrouwbare partner ervaren bij de verkoop van mijn huis. Prima service en begeleiding, dik tevreden! Bedankt Bas!De verkoop is behandeld door Bas Panbakker. De samenwerking was prettig en Bas is vanaf het begin duidelijk geweest over de aanpak. Alles is in overleg gegaan en Bas was zeer goed bereikbaar voor vragen en opmerkingen. Er zijn heel veel bezichtigingen geweest in 2 en een halve maand. Ik ben tevreden over de tijdslijn en het eindresultaat.Professioneel, helder, deskundig en persoonlijk is de verkoop van ons huis opgepakt. Goede begeleiding over de te zetten stappen. Naast verkoop van ons huis, heeft 3b ook geholpen met de aankoop van ons nieuwe huis. In beide gevallen zijn door 3b onze belangen goed behartigt. De makelaar wist de woning met een marktconforme maar scherpe waardebepaling in de markt te zetten. Hij kwam ook met een heldere verkoopstrategie.De makelaar heeft mij regelmatig en goed op de hoogte gehouden van de ontwikkelingen rondom de verkoop.Ondanks de corona tijd is de makelaar met goede initiatieven gekomen om de woning extra onder de aandacht te brengen. En dit heeft ook daadwerkelijk geleid tot verkoop van de woning. Opvallend was ook het enthousiasme van de makelaar over ons huis en zijn positieve houding gedurende het verkoopproces. "
11 Makelaars Amsterdam,"11 Makelaars zijn zeer deskundig, snel en efficiënt. Gaan voor het maximaal haalbare resultaat. Absolute aanrader!Vlot geholpen, heel prettig contact, geen snoeverij maar toepasselijke daden. Laat keuzes bij de klant, maar adviseert wel goed.Was ook een stuk goedkoper dan een tweede makelaar waar ik een gesprek mee gehad heb.Makkelijk contact, goeie verkooptekst en advies bij alle zaken die komen kijken bij het verkopen (en ook kopen) van een huis.Agent was open to discussion and suggestions. The important thing is apartment sold reasonably quickly"
2M makelaars,"Goed en regelmatig contact, fijne samenwerking. Prettige benadering als ook een laagdrempelige benadering van alle medewerkers van het bureau. Gedragen zich als team.Goedemorgen,Hartelijk dank voor de mooie complimenten!Met vriendelijke groet,Team 2M MakelaarsHele fijne makelaar, van A tot Z alles goed geregeld.Wij kunnen iedereen deze makelaar aanbevelen ! Goedemiddag,Heel hartelijk dank voor deze mooie woorden!Met vriendelijke groet,Team 2M MakelaarsEerste contact uitstekend verlopen.Professionele benadering op een uiterst vriendelijke manier.Geweldige fotograaf, verstaat zijn vak.Zeer aan te bevelen.Als kers op de taart, een presentje bij de definitieve verkoop.Goedemiddag,Hartelijk dank voor deze mooie woorden!Super!Goed weekend toegewenst.Team 2M MakelaarsHele fijne makelaar!! Zeer vriendelijk, geven goede tips voor de verkoop, keurige foto’s en brochure, professionele aanpak, denken met je mee, reageren snel... echt een top team!!Prettig contact met de makelaar. Toen bleek dat mijn huis in de verkoop ging tijdens de vakantie van de contactpersoon/makelaar, ook goed contact gehad met alle andere collega’s van 2M. Er is fijn meegedacht, de communicatie is goed. Binnen een week was mijn flat verkocht voor een geweldige prijs!"
2M Makelaars,"Het was snel service duidelijk en geholpen met verkoop van het huis.Zelf de foto's was netjes en mooi. Goedemiddag, heel hartelijk dank voor deze mooie review!Met vriendelijke groet,Team 2M MakelaarsSnel, accuraat en prettig contact gehad met 2M makelaars. Klantgericht en veel service, ook ongevraagd. Goedemiddag, we willen u nog hartelijk danken voor deze mooie review!Met vriendelijke groet,Team 2M MakelaarsNa een kennismaking met deze makelaar heeft hij onze wensen goed begrepen. De eigen fotograaf heeft ons huis prima neergezet online.De deskundigheid, betrokkenheid en alert zijn op en tijdens belangrijke momenten gaf ons een goed en gerust gevoel. Ons huis was binnen drie weken verkocht. Dit toont de genoemde kwaliteiten van deze makelaar nog eens aan. Zodra er iets te melden was belde hij direct. Wanneer wij iets wilden vragen of meedelen dan was hij steeds direct bereikbaar. Kortom, een prima makelaar.Goedemorgen, onze excuses voor de late reactie, maar alsnog willen we u hartelijk danken voor de mooie review die u ons gegeven heeft!Met vriendelijke groet,Team 2M MakelaarsArjen vos is een enthousiaste jonge makelaar met veel kennis van zijn vakHet contact met hem verliep heel prettigGoedemorgen, heel hartelijk dank voor deze mooie review!Met vriendelijke groet,Team 2M MakelaarsZeer goed geholpen. Vaak telefonisch een up date gekregen. Meterstanden doorgestuurd naar mijn email enz. Bedankt Arjen ! Goedemorgen, onze excuses voor de late reactie, maar alsnog willen we u hartelijk danken voor de mooie review die u ons gegeven heeft!Met vriendelijke groet,Team 2M Makelaars"
2Veld Makelaars,"Oscar is een plezierig mens in de omgang en geeft eerlijke, duidelijke en gepaste voorlichting en advies.Ook het kantoorpersoneel is goed op de hoogte van de gang van zaken.Ik heb fijn gewerkt met 2veld. Met name snelheid van handelen vind ik erg fijn. Goed bereikbaar en een snelle respons op alle vragen en acties. Top expert met veel geduld en grootempatisch vermogen. Zijn rustige bescheiden maar professionele houding is zeer welkom indien een verkoop niet volgens verwachting verloopt. Hij laat ruimte aan de verkoper om diens ideeën uit te voeren maar grijpt op het juiste moment in indien in het belang van de verkoper. Zeer deskundige makelaar. Hij is altijd te bereiken of belt snel terug als hij niet in gelegenheid is om de telefoon te beantwoorden.Wat hem bijzonder maakt is dat hij alle situaties de rust weet te bewaren en op zoek gaat naar een passende oplossing. Hij doet wat hij zegt en zegt wat hij doet.Als verkoper weet je dus precies wat er gaande is en dat heb ik als zeer prettig ervaren! Goede makelaar weet waar die over praat. En doet wat hij zegt. En beschiktj over een goed netwerk."
020-Makelaars,"020 Makelaars heeft mij goed geholpen bij alles wat er komt kijken bij het verkopen van een woning. Kennis van zaken. Fijne samenwerking. Ik ben heel erg goed geholpen tijdens het gehele proces van de verkoop. Het prettige van 020 makelaars is de deskundigheid en je wordt echt ontzorgd. Ik ben echt heel erg tevreden en zal ook zeker in de toekomst zaken blijven doen met 020 makelaars.Echt een aanrader voor iedereen! ( verkoop en verhuur)We waren enorm blij met Frits, en niet alleen omdat hij 20 jaar ervaring heeft, zijn vak serieus neemt en professioneel werkt. Waarschijnlijk nóg belangrijker voor ons was dat Frits integer is en we hem konden vertrouwen. Hij houdt geen mooie praatjes maar zegt gewoon zoals het is. Hij stond 100% aan onze kant... en dat gaf een gevoel van vertrouwen. Prettig in omgang. Vakman. Oog voor verschillende belangen. Degelijk en serieus. Geen ""praatjesmaker"". Met Frits als makelaar was alles perfect behandeld. Bedankt! Alles was snel en goed geregeld, een aanrader! :)"
10+ Makelaars,"Goede communicatie met de makelaar. Bij vragen kregen wij zeer snel een reactie. Bezichtigingen werden mooi achter elkaar gepland. Het hele proces van a tot z is zeer snel verkopen, kon niet beter. Zeer tevreden over de makelaar!Super snel, efficient, helder en open advies en verkoop.Echte aanrader voor iedereen in Den Bosch die snel en voor een eerlijke prijs kwaliteit zijn woning wil (ver)kopen!Conclusie: dikke +Het contact met de makelaar verliep erg prettig. Het was duidelijk dat hij de buurt en het huis goed kende. De makelaar heeft ons goed geadviseerd en wanneer we vragen of opmerkingen hadden konden we altijd terecht. Wat ons betreft een hele fijne samenwerking. Heb net een bedankje gestuurd voor de wijze waarop ze de verkoop hebben begeleid.Niet alleen de ""baas"" maar het was met het hele team prettig te werken.Afspraken worden altijd netjes tijdig doorgegeven en bezichtigingen worden zoveel mogelijk naast elkaar gepland. Dit is voor ons als verkopers enorm fijn. De begeleiding tijdens de open huizen dag was top. Door iedere keer op een enthousiaste manier potentiële kopers te begeleiden, hebben we ons huis goed verkocht!"
